,hora,tipo_carretera,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,drogas_alcohol_positivo,vehiculos_implicados,coordenada_x_utm,coordenada_y_utm
45316,2,19,7.0,6,1.0,3.0,3.0,3,2,Slight,2,2,443575540,4477277860
29220,2,17,7.0,12,1.0,5.0,1.0,3,2,Fatal,2,1,443877569,4477293138
38774,1,18,8.0,7,3.0,5.0,1.0,3,1,Slight,2,1,443881148,4477298283
5303,1,19,12.0,6,1.0,4.0,1.0,3,1,Serious,2,2,445283211,4477308535
5304,1,19,12.0,6,1.0,4.0,3.0,4,1,Fatal,2,2,445283211,4477308535
24172,1,9,6.0,6,2.0,9.0,1.0,3,1,Slight,2,2,440997016,4477323224
24173,1,9,6.0,6,2.0,9.0,3.0,3,1,Serious,2,2,440997016,4477323224
47628,2,19,6.0,2,1.0,4.0,1.0,3,1,Serious,2,4,439434530,4477347990
47629,2,19,6.0,2,1.0,4.0,2.0,3,2,Slight,2,4,439434530,4477347990
47630,2,19,6.0,2,1.0,5.0,1.0,2,1,Slight,2,4,439434530,4477347990
47631,2,19,6.0,2,1.0,5.0,2.0,2,2,Slight,2,4,439434530,4477347990
54388,1,19,6.0,2,1.0,5.0,1.0,3,1,Slight,2,2,440586220,4477356300
54389,1,19,6.0,2,1.0,13.0,1.0,4,1,Serious,2,2,440586220,4477356300
35541,2,12,7.0,2,1.0,3.0,1.0,3,1,Slight,2,2,441845010,4477379854
35542,2,12,7.0,2,1.0,5.0,1.0,2,1,Slight,2,2,441845010,4477379854
41730,1,12,7.0,0,1.0,3.0,1.0,3,1,Serious,2,2,441848589,4477369937
41731,1,12,7.0,0,1.0,12.0,1.0,3,1,Slight,2,2,441848589,4477369937
2814,2,18,9.0,10,1.0,4.0,1.0,3,1,Slight,2,2,436159361,4477395139
2815,2,18,9.0,10,1.0,4.0,2.0,2,1,Serious,2,2,436159361,4477395139
38483,2,18,9.0,0,1.0,3.0,1.0,3,1,Serious,2,2,436144449,4477410499
38484,2,18,9.0,0,1.0,5.0,1.0,2,1,Slight,2,2,436144449,4477410499
8912,1,18,12.0,0,1.0,4.0,1.0,2,1,Serious,2,2,444238896,4477424404
8913,1,18,12.0,0,1.0,5.0,1.0,3,1,Slight,2,2,444238896,4477424404
47140,1,3,7.0,2,1.0,4.0,1.0,3,1,Serious,2,2,441431670,4477473380
47141,1,3,7.0,2,1.0,5.0,1.0,2,2,Slight,2,2,441431670,4477473380
50589,1,3,7.0,4,1.0,3.0,1.0,3,2,Slight,2,2,441431670,4477473380
50590,1,3,7.0,4,1.0,5.0,1.0,4,1,Slight,1,2,441431670,4477473380
53514,2,3,7.0,6,1.0,9.0,1.0,3,1,Slight,2,2,441431670,4477473380
53515,2,3,7.0,6,1.0,9.0,3.0,3,1,Slight,2,2,441431670,4477473380
53824,2,3,7.0,2,1.0,5.0,1.0,3,1,Slight,2,2,441431670,4477473380
53825,2,3,7.0,2,1.0,5.0,1.0,3,2,Slight,2,2,441431670,4477473380
13177,2,17,6.0,3,1.0,1.0,1.0,3,1,Serious,2,1,441308462,4477505901
8428,1,17,6.0,4,1.0,5.0,1.0,3,1,Slight,2,3,439542685,4477516488
8429,1,17,6.0,4,1.0,5.0,2.0,4,1,Serious,2,3,439542685,4477516488
48521,2,19,9.0,3,1.0,1.0,1.0,2,2,Slight,2,2,438468830,4477537340
48522,2,19,9.0,3,1.0,1.0,1.0,2,2,Serious,2,2,438468830,4477537340
42175,1,17,9.0,2,1.0,4.0,1.0,2,1,Serious,2,2,439593686,4477555037
42176,1,17,9.0,2,1.0,5.0,1.0,3,1,Slight,2,2,439593686,4477555037
27292,1,17,6.0,6,1.0,3.0,1.0,2,1,Slight,2,2,440435192,4477572634
27293,1,17,6.0,6,1.0,3.0,3.0,4,1,Serious,2,2,440435192,4477572634
7886,2,17,6.0,2,4.0,4.0,1.0,3,1,Serious,2,3,439753397,4477590208
7887,2,17,6.0,2,4.0,5.0,1.0,3,1,Slight,2,3,439753397,4477590208
7888,2,17,6.0,2,4.0,5.0,2.0,3,1,Slight,2,3,439753397,4477590208
8961,2,19,7.0,2,1.0,5.0,1.0,2,1,Slight,1,4,442896520,4477628648
8962,2,19,7.0,2,1.0,5.0,1.0,3,1,Slight,2,4,442896520,4477628648
8963,2,19,7.0,2,1.0,5.0,3.0,3,1,Serious,2,4,442896520,4477628648
8964,2,19,7.0,2,1.0,5.0,3.0,4,1,Slight,2,4,442896520,4477628648
23879,2,19,7.0,4,1.0,5.0,1.0,4,1,Slight,2,2,442897303,4477628014
23880,2,19,7.0,4,1.0,5.0,1.0,3,2,Slight,2,2,442897303,4477628014
5953,2,17,17.0,0,1.0,2.0,1.0,1,1,Serious,2,3,439933166,4477635489
5954,2,17,17.0,0,1.0,5.0,1.0,3,2,Slight,2,3,439933166,4477635489
5955,2,17,17.0,0,1.0,5.0,2.0,3,2,Slight,2,3,439933166,4477635489
13987,1,17,17.0,0,1.0,4.0,1.0,3,1,Serious,2,2,439934657,4477638099
13988,1,17,17.0,0,1.0,5.0,1.0,3,1,Slight,2,2,439934657,4477638099
14727,1,17,17.0,3,1.0,3.0,1.0,3,1,Slight,2,2,439937462,4477636176
14728,1,17,17.0,3,1.0,5.0,1.0,3,1,Slight,2,2,439937462,4477636176
18098,1,17,17.0,2,3.0,5.0,1.0,3,1,Slight,2,3,439935254,4477637428
18099,1,17,17.0,2,3.0,5.0,1.0,3,2,Slight,2,3,439935254,4477637428
18100,1,17,17.0,2,3.0,5.0,2.0,4,1,Slight,2,3,439935254,4477637428
25220,2,19,6.0,2,1.0,3.0,1.0,3,1,Slight,2,2,439929811,4477631165
25221,2,19,6.0,2,1.0,5.0,1.0,3,1,Slight,2,2,439929811,4477631165
28068,1,17,17.0,0,2.0,4.0,1.0,3,1,Slight,2,6,439933315,4477635862
28069,1,17,17.0,0,2.0,5.0,1.0,3,2,Slight,2,6,439933315,4477635862
28070,1,17,17.0,0,2.0,5.0,2.0,4,2,Slight,2,6,439933315,4477635862
28071,1,17,17.0,0,2.0,5.0,2.0,1,1,Slight,2,6,439933315,4477635862
28072,1,17,17.0,0,2.0,5.0,2.0,1,2,Slight,2,6,439933315,4477635862
46033,2,3,17.0,2,1.0,2.0,1.0,3,1,Slight,2,2,441320270,4477646640
46034,2,3,17.0,2,1.0,5.0,1.0,3,1,Slight,2,2,441320270,4477646640
53640,2,3,17.0,1,1.0,1.0,1.0,3,1,Serious,2,1,441320270,4477646640
333,1,19,7.0,6,1.0,5.0,1.0,4,2,Slight,2,2,443015633,4477669490
334,1,19,7.0,6,1.0,5.0,3.0,4,1,Serious,2,2,443015633,4477669490
5037,1,19,7.0,6,1.0,9.0,1.0,3,1,Slight,2,3,443419498,4477711524
5038,1,19,7.0,6,1.0,9.0,3.0,3,2,Slight,2,3,443419498,4477711524
5039,1,19,7.0,6,1.0,9.0,3.0,4,1,Serious,2,3,443419498,4477711524
15707,1,19,9.0,3,1.0,4.0,1.0,3,1,Serious,2,1,438543256,4477730854
29514,2,19,20.0,1,1.0,3.0,1.0,3,2,Serious,2,1,451107545,4477741144
16799,1,19,12.0,2,1.0,4.0,1.0,3,1,Serious,2,2,445088642,4477754285
16800,1,19,12.0,2,1.0,5.0,1.0,3,1,Slight,2,2,445088642,4477754285
15435,2,3,7.0,1,1.0,12.0,1.0,2,1,Serious,2,1,441443643,4477771192
36743,1,19,7.0,2,1.0,4.0,1.0,3,1,Serious,2,3,442063402,4477800122
36744,1,19,7.0,2,1.0,5.0,1.0,3,1,Slight,2,3,442063402,4477800122
36745,1,19,7.0,2,1.0,5.0,2.0,3,2,Slight,2,3,442063402,4477800122
39521,2,18,20.0,6,4.0,3.0,1.0,3,1,Serious,2,2,446460470,4477805416
