,Easting,Northing,1st Road Class,Accident Time,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude
33595,341498,383915,3,2,2,1,40,3,1,4,25,9,4,2,2,1,3,Slight,-2.880275,53.348889
33596,341498,383915,3,2,2,1,40,3,1,4,25,9,11,2,2,1,3,Slight,-2.880275,53.348889
33589,341498,383915,3,2,2,1,40,3,1,4,25,9,4,2,1,1,2,Slight,-2.880275,53.348889
33590,341498,383915,3,2,2,1,40,3,1,4,25,9,11,2,1,1,2,Slight,-2.880275,53.348889
33591,341498,383915,3,2,2,1,40,3,1,4,25,9,4,2,2,2,1,Slight,-2.880275,53.348889
33592,341498,383915,3,2,2,1,40,3,1,4,25,9,11,2,2,2,1,Slight,-2.880275,53.348889
33593,341498,383915,3,2,2,1,40,3,1,4,25,9,4,2,1,1,2,Assistance,-2.880275,53.348889
33594,341498,383915,3,2,2,1,40,3,1,4,25,9,11,2,1,1,2,Assistance,-2.880275,53.348889
33595,341498,383915,3,2,2,1,40,3,1,4,25,9,4,2,2,1,3,Slight,-2.880275,53.348889
33596,341498,383915,3,2,2,1,40,3,1,4,25,9,11,2,2,1,3,Slight,-2.880275,53.348889
32343,340345,383927,6,1,2,1,20,1,1,3,35,3,2,3,1,1,2,Assistance,-2.89762,53.348843
34080,341781,383942,3,1,1,1,40,3,1,5,42,2,10,2,3,2,1,Assistance,-2.876029,53.349163
30124,343976,383967,6,2,2,2,30,3,1,5,36,7,7,4,1,1,3,Assistance,-2.843065,53.349609
20750,340570,384000,6,2,1,1,30,1,1,5,30,9,8,2,1,1,2,Assistance,-2.894254,53.349523
20751,340570,384000,6,2,1,1,30,1,1,5,30,9,8,2,2,2,2,Slight,-2.894254,53.349523
7088,341380,384020,3,2,2,2,40,3,2,5,45,9,11,2,2,1,1,Assistance,-2.882091,53.349794
7089,341380,384020,3,2,2,2,40,3,2,5,45,9,1,4,2,1,1,Assistance,-2.882091,53.349794
34733,342359,384029,3,1,1,1,40,1,1,3,10,2,2,4,3,2,1,Assistance,-2.867364,53.350008
34001,341582,384067,6,1,1,2,20,1,1,6,40,2,5,5,3,2,4,Assistance,-2.879041,53.350265
34001,341582,384067,6,1,1,2,20,1,1,6,40,2,5,5,3,2,4,Assistance,-2.879041,53.350265
3198,341300,384100,5,1,1,1,30,5,1,6,1,2,1,2,3,1,1,Slight,-2.883308,53.350504
21081,341300,384100,3,1,2,1,40,1,8,4,46,5,7,5,1,1,2,Assistance,-2.883308,53.350504
21082,341300,384100,3,1,2,1,40,1,8,4,46,5,6,4,1,1,2,Assistance,-2.883308,53.350504
6872,342480,384110,6,1,2,2,30,1,2,6,33,9,5,2,1,1,3,Slight,-2.865585,53.350724
6873,342480,384110,6,1,2,2,30,1,2,6,33,9,0,2,1,1,3,Slight,-2.865585,53.350724
6874,342480,384110,6,1,2,2,30,1,2,6,33,9,5,2,2,1,4,Assistance,-2.865585,53.350724
6875,342480,384110,6,1,2,2,30,1,2,6,33,9,0,2,2,1,4,Assistance,-2.865585,53.350724
6876,342480,384110,6,1,2,2,30,1,2,6,33,9,5,2,2,2,1,Slight,-2.865585,53.350724
6877,342480,384110,6,1,2,2,30,1,2,6,33,9,0,2,2,2,1,Slight,-2.865585,53.350724
6878,342480,384110,6,1,2,2,30,1,2,6,33,9,5,2,1,1,3,Assistance,-2.865585,53.350724
6879,342480,384110,6,1,2,2,30,1,2,6,33,9,0,2,1,1,3,Assistance,-2.865585,53.350724
25498,341178,384169,3,1,2,2,40,1,2,3,11,3,13,2,1,1,3,Slight,-2.885153,53.351111
34061,341176,384166,3,1,2,1,40,3,1,3,42,7,0,5,1,1,3,Assistance,-2.885158,53.351109
34062,341176,384166,3,1,2,1,40,3,1,3,42,7,14,2,1,1,3,Assistance,-2.885158,53.351109
12818,343450,384170,6,2,2,2,30,3,2,1,28,5,1,5,1,1,3,Assistance,-2.851025,53.351368
18754,343450,384170,6,1,2,4,30,1,8,5,51,9,5,3,1,2,3,Slight,-2.851025,53.351368
18755,343450,384170,6,1,2,4,30,1,8,5,51,9,8,3,1,2,3,Slight,-2.851025,53.351368
18756,343450,384170,6,1,2,4,30,1,8,5,51,9,5,3,2,1,1,Slight,-2.851025,53.351368
18757,343450,384170,6,1,2,4,30,1,8,5,51,9,8,3,2,1,1,Slight,-2.851025,53.351368
6476,341090,384200,3,1,2,1,30,1,1,1,17,9,7,4,1,1,3,Assistance,-2.886481,53.351379
6476,341090,384200,3,1,2,1,30,1,1,1,17,9,7,4,1,1,3,Assistance,-2.886481,53.351379
12369,340320,384220,6,1,2,2,30,1,8,1,4,20,3,2,1,1,3,Assistance,-2.898051,53.351473
23120,340320,384220,6,1,2,2,30,1,1,5,8,9,11,5,2,2,2,Slight,-2.898051,53.351473
25930,340965,384253,3,1,1,2,40,1,2,2,43,2,7,2,3,1,1,Assistance,-2.888369,53.351842
15471,340970,384260,3,1,1,3,40,3,3,1,6,9,3,4,1,1,3,Assistance,-2.888294,53.351905
25930,340965,384253,3,1,1,2,40,1,2,2,43,2,7,2,3,1,1,Assistance,-2.888369,53.351842
15471,340970,384260,3,1,1,3,40,3,3,1,6,9,3,4,1,1,3,Assistance,-2.888294,53.351905
12676,340370,384310,6,1,1,1,30,1,1,2,21,2,7,2,3,1,1,Assistance,-2.897317,53.352287
12676,340370,384310,6,1,1,1,30,1,1,2,21,2,7,2,3,1,1,Assistance,-2.897317,53.352287
30780,340378,384326,6,2,2,1,30,3,1,5,2,19,7,4,2,1,2,Assistance,-2.897175,53.352442
33075,340510,384358,3,1,1,1,40,1,1,1,4,9,16,2,1,1,3,Assistance,-2.895198,53.35276
33075,340510,384358,3,1,1,1,40,1,1,1,4,9,16,2,1,1,3,Assistance,-2.895198,53.35276
31178,340596,384386,3,2,1,2,40,3,1,7,1,9,8,2,1,1,3,Assistance,-2.893937,53.352996
2756,340400,384430,6,2,2,1,30,1,1,3,38,9,3,2,1,1,3,Slight,-2.896889,53.353369
6248,340400,384430,6,1,1,1,30,1,1,5,3,2,3,2,3,1,1,Slight,-2.896889,53.353369
6380,340400,384430,6,1,2,2,30,1,2,2,10,11,8,5,2,2,3,Slight,-2.896889,53.353369
