,Easting,Northing,1st Road Class,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude,Accident Time Sin,Accident Time Cos
9937,1470534,1422775,6,1,0,110,0,0,1,51,6,1993,1,0,0,2,Assistance,lon,lat,-0.6593458151000685,-0.7518398074789777
2023,1514553,1423302,1,2,0,110,1,1,1,22,5,1996,4,0,0,3,Assistance,lon,lat,-0.9914448613738105,0.13052619222005127
2024,1514553,1423302,1,2,0,110,1,1,1,22,6,2014,4,0,0,3,Slight,lon,lat,-0.9914448613738105,0.13052619222005127
11246,1512919,1427747,1,2,0,110,0,0,2,14,2,2005,4,0,0,3,Assistance,lon,lat,0.19509032201612816,-0.9807852804032304
11368,1422665,1428727,8,2,0,50,1,0,7,16,2,2012,9,0,1,3,Assistance,lon,lat,0.7933533402912352,0.6087614290087207
11368,1422665,1428727,8,2,0,50,1,0,7,16,2,2012,9,0,1,3,Assistance,lon,lat,0.7933533402912352,0.6087614290087207
8387,1503533,1429314,1,2,1,100,1,1,1,35,6,1995,9,0,0,1,Assistance,lon,lat,-0.08715574274765832,0.9961946980917455
3032,1511891,1430869,1,3,0,110,0,1,6,32,2,2006,9,0,0,2,Assistance,lon,lat,-0.7071067811865475,-0.7071067811865477
6045,1489973,1432209,1,2,0,110,0,0,2,11,7,2018,4,0,0,3,Assistance,lon,lat,-0.19509032201612792,-0.9807852804032305
6046,1489973,1432209,1,2,0,110,0,0,2,11,5,2004,4,0,0,3,Assistance,lon,lat,-0.19509032201612792,-0.9807852804032305
6047,1489973,1432209,1,2,0,110,0,0,2,11,5,2004,4,1,1,3,Assistance,lon,lat,-0.19509032201612792,-0.9807852804032305
3335,1511532,1432696,8,2,0,110,0,0,6,35,2,1999,4,0,0,3,Assistance,lon,lat,0.7933533402912354,-0.6087614290087203
21774,1499007,1433612,1,2,0,110,0,0,1,43,9,2012,9,0,0,3,Assistance,lon,lat,-0.9940563382223195,-0.10886687485196507
21000,1512096,1434124,8,2,1,80,1,0,7,31,2,2005,9,1,1,2,Assistance,lon,lat,0.8433914458128857,0.5372996083468239
20273,1511436,1434585,1,2,0,80,0,0,3,21,2,2010,9,0,0,2,Assistance,lon,lat,0.9271838545667874,-0.37460659341591207
18846,1478492,1434887,8,2,0,110,0,0,1,1,1,1995,6,2,0,3,Assistance,lon,lat,0.4422886902190013,-0.8968727415326883
18847,1478492,1434887,8,2,0,110,0,0,1,1,1,1995,6,1,1,1,Assistance,lon,lat,0.4422886902190013,-0.8968727415326883
