,Easting,Northing,1st Road Class,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude,Accident Time Sin,Accident Time Cos
2641,343170,383750,6,3,1,30,1,1,3,32,9,2,5,1,1,3,Assistance,-2.855155,53.347563,0.9647873238288129,0.26303121445797495
2640,343170,383750,6,3,1,30,1,1,3,32,9,1,5,1,1,3,Assistance,-2.855155,53.347563,0.9647873238288129,0.26303121445797495
2641,343170,383750,6,3,1,30,1,1,3,32,9,2,5,1,1,3,Assistance,-2.855155,53.347563,0.9647873238288129,0.26303121445797495
6655,343540,383760,6,2,1,30,1,1,5,21,3,5,5,1,1,3,Assistance,-2.8496,53.347692,-0.9996573249755573,-0.026176948307873482
6655,343540,383760,6,2,1,30,1,1,5,21,3,5,5,1,1,3,Assistance,-2.8496,53.347692,-0.9996573249755573,-0.026176948307873482
2605,343550,383820,6,1,1,30,1,1,2,32,2,3,2,3,2,1,Slight,-2.84946,53.348233,-0.7933533402912349,-0.6087614290087209
2636,343550,383820,3,1,1,40,1,1,1,34,11,9,1,2,1,1,Slight,-2.84946,53.348233,-0.9816271834476641,0.19080899537654425
2795,343550,383820,3,2,1,40,1,1,4,38,9,0,2,1,1,3,Slight,-2.84946,53.348233,0.3007057995042729,-0.953716950748227
2796,343550,383820,3,2,1,40,1,1,4,38,13,0,2,1,1,3,Slight,-2.84946,53.348233,0.3007057995042729,-0.953716950748227
2797,343550,383820,3,2,1,40,1,1,4,38,13,0,2,2,1,3,Assistance,-2.84946,53.348233,0.3007057995042729,-0.953716950748227
2908,343550,383820,3,2,1,40,1,1,5,43,9,2,3,1,1,4,Slight,-2.84946,53.348233,-0.38268343236508967,-0.9238795325112868
2909,343550,383820,3,2,1,40,1,1,5,43,9,4,2,1,1,4,Slight,-2.84946,53.348233,-0.38268343236508967,-0.9238795325112868
6649,343550,383820,6,2,1,30,1,1,6,22,9,2,3,1,2,2,Slight,-2.84946,53.348233,-0.9807852804032304,0.1950903220161283
10095,343550,383820,3,2,1,40,1,1,3,33,9,1,2,2,2,3,Slight,-2.84946,53.348233,-0.4422886902190011,-0.8968727415326884
10096,343550,383820,3,2,1,40,1,1,3,33,9,1,3,2,2,3,Slight,-2.84946,53.348233,-0.4422886902190011,-0.8968727415326884
12614,343550,383820,3,2,1,40,3,1,5,18,9,10,2,1,2,2,Slight,-2.84946,53.348233,-0.38268343236508956,0.9238795325112868
12615,343550,383820,3,2,1,40,3,1,5,18,9,8,2,1,2,2,Slight,-2.84946,53.348233,-0.38268343236508956,0.9238795325112868
12616,343550,383820,3,2,1,40,3,1,5,18,9,10,2,2,2,2,Slight,-2.84946,53.348233,-0.38268343236508956,0.9238795325112868
12617,343550,383820,3,2,1,40,3,1,5,18,9,8,2,2,2,2,Slight,-2.84946,53.348233,-0.38268343236508956,0.9238795325112868
12618,343550,383820,3,2,1,40,3,1,5,18,9,10,2,1,1,3,Slight,-2.84946,53.348233,-0.38268343236508956,0.9238795325112868
12619,343550,383820,3,2,1,40,3,1,5,18,9,8,2,1,1,3,Slight,-2.84946,53.348233,-0.38268343236508956,0.9238795325112868
13142,343550,383820,3,2,1,40,1,1,2,47,10,2,2,1,1,2,Assistance,-2.84946,53.348233,0.9978589232386035,-0.06540312923014314
13143,343550,383820,3,2,1,40,1,1,2,47,10,10,5,1,1,2,Assistance,-2.84946,53.348233,0.9978589232386035,-0.06540312923014314
15598,343550,383820,3,2,1,40,3,1,2,11,9,11,2,1,2,3,Slight,-2.84946,53.348233,-0.688354575693754,0.7253743710122876
15599,343550,383820,3,2,1,40,3,1,2,11,9,6,2,1,2,3,Slight,-2.84946,53.348233,-0.688354575693754,0.7253743710122876
15600,343550,383820,3,2,1,40,3,1,2,11,9,11,2,1,1,3,Slight,-2.84946,53.348233,-0.688354575693754,0.7253743710122876
15601,343550,383820,3,2,1,40,3,1,2,11,9,6,2,1,1,3,Slight,-2.84946,53.348233,-0.688354575693754,0.7253743710122876
15602,343550,383820,3,2,1,40,3,1,2,11,9,11,2,2,2,3,Slight,-2.84946,53.348233,-0.688354575693754,0.7253743710122876
15603,343550,383820,3,2,1,40,3,1,2,11,9,6,2,2,2,3,Slight,-2.84946,53.348233,-0.688354575693754,0.7253743710122876
17864,343540,383820,3,2,4,40,3,1,7,53,9,11,3,1,2,2,Slight,-2.849611,53.348232,-0.13052619222005168,0.9914448613738104
17865,343540,383820,3,2,4,40,3,1,7,53,9,4,2,1,2,2,Slight,-2.849611,53.348232,-0.13052619222005168,0.9914448613738104
18349,343550,383820,3,2,1,30,1,1,6,23,3,7,2,1,1,2,Slight,-2.84946,53.348233,0.13052619222005157,-0.9914448613738104
18413,343550,383820,3,3,1,40,3,1,3,35,9,9,2,2,2,1,Slight,-2.84946,53.348233,-0.6427876096865396,0.7660444431189778
18414,343550,383820,3,3,1,40,3,1,3,35,9,0,2,2,2,1,Slight,-2.84946,53.348233,-0.6427876096865396,0.7660444431189778
18415,343550,383820,3,3,1,40,3,1,3,35,9,12,2,2,2,1,Slight,-2.84946,53.348233,-0.6427876096865396,0.7660444431189778
20618,343550,383820,3,2,1,40,3,1,4,21,9,9,2,1,2,3,Slight,-2.84946,53.348233,-0.20791169081775987,0.9781476007338056
25643,343550,383821,3,2,1,30,1,1,5,23,9,4,2,1,1,3,Slight,-2.849461,53.348242,-0.7986355100472928,-0.6018150231520483
2605,343550,383820,6,1,1,30,1,1,2,32,2,3,2,3,2,1,Slight,-2.84946,53.348233,-0.7933533402912349,-0.6087614290087209
2636,343550,383820,3,1,1,40,1,1,1,34,11,9,1,2,1,1,Slight,-2.84946,53.348233,-0.9816271834476641,0.19080899537654425
2795,343550,383820,3,2,1,40,1,1,4,38,9,0,2,1,1,3,Slight,-2.84946,53.348233,0.3007057995042729,-0.953716950748227
2796,343550,383820,3,2,1,40,1,1,4,38,13,0,2,1,1,3,Slight,-2.84946,53.348233,0.3007057995042729,-0.953716950748227
