,Easting,Northing,1st Road Class,Accident Time,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude
3538,533170,171920,6,2,1,1,30,3,1,7,44,5,6,2,1,1,1,Assistance,-0.085729,51.430587
3538,533170,171920,6,2,1,1,30,3,1,7,44,5,6,2,1,1,1,Assistance,-0.085729,51.430587
2833,533170,171950,6,2,1,1,30,3,1,5,30,5,12,2,1,1,3,Assistance,-0.085717,51.430856
2833,533170,171950,6,2,1,1,30,3,1,5,30,5,12,2,1,1,3,Assistance,-0.085717,51.430856
2833,533170,171950,6,2,1,1,30,3,1,5,30,5,12,2,1,1,3,Assistance,-0.085717,51.430856
2833,533170,171950,6,2,1,1,30,3,1,5,30,5,12,2,1,1,3,Assistance,-0.085717,51.430856
336,532910,172050,3,1,2,2,30,1,2,1,16,3,8,5,1,1,3,Slight,-0.089418,51.431816
7682,532910,172050,3,1,2,1,30,1,1,2,47,9,1,4,1,1,3,Slight,-0.089418,51.431816
7683,532910,172050,3,1,2,1,30,1,1,2,47,9,0,5,1,1,3,Slight,-0.089418,51.431816
7684,532910,172050,3,1,2,1,30,1,1,2,47,6,1,4,1,1,3,Slight,-0.089418,51.431816
7685,532910,172050,3,1,2,1,30,1,1,2,47,6,0,5,1,1,3,Slight,-0.089418,51.431816
9211,532910,172050,3,1,2,1,30,1,1,1,50,7,9,4,1,1,3,Assistance,-0.089418,51.431816
9212,532910,172050,3,1,2,1,30,1,1,1,50,7,4,2,1,1,3,Assistance,-0.089418,51.431816
12429,532910,172040,3,1,2,1,30,1,1,6,18,9,15,2,1,1,3,Slight,-0.089442,51.431782
12430,532910,172040,3,1,2,1,30,1,1,6,18,9,9,3,1,1,3,Slight,-0.089442,51.431782
13032,532910,172050,3,2,2,1,30,3,1,7,34,5,6,5,1,1,3,Assistance,-0.089438,51.431872
13033,532910,172050,3,2,2,1,30,3,1,7,34,5,9,2,1,1,3,Assistance,-0.089438,51.431872
15389,532910,172050,3,2,2,2,20,3,2,6,30,9,11,2,1,2,3,Slight,-0.089412,51.431872
15390,532910,172050,3,2,2,2,20,3,2,6,30,9,10,2,1,2,3,Slight,-0.089412,51.431872
15391,532910,172050,3,2,2,2,20,3,2,6,30,9,11,2,1,1,3,Slight,-0.089412,51.431872
15392,532910,172050,3,2,2,2,20,3,2,6,30,9,10,2,1,1,3,Slight,-0.089412,51.431872
336,532910,172050,3,1,2,2,30,1,2,1,16,3,8,5,1,1,3,Slight,-0.089418,51.431816
7682,532910,172050,3,1,2,1,30,1,1,2,47,9,1,4,1,1,3,Slight,-0.089418,51.431816
7683,532910,172050,3,1,2,1,30,1,1,2,47,9,0,5,1,1,3,Slight,-0.089418,51.431816
7684,532910,172050,3,1,2,1,30,1,1,2,47,6,1,4,1,1,3,Slight,-0.089418,51.431816
7685,532910,172050,3,1,2,1,30,1,1,2,47,6,0,5,1,1,3,Slight,-0.089418,51.431816
9211,532910,172050,3,1,2,1,30,1,1,1,50,7,9,4,1,1,3,Assistance,-0.089418,51.431816
9212,532910,172050,3,1,2,1,30,1,1,1,50,7,4,2,1,1,3,Assistance,-0.089418,51.431816
12429,532910,172040,3,1,2,1,30,1,1,6,18,9,15,2,1,1,3,Slight,-0.089442,51.431782
12430,532910,172040,3,1,2,1,30,1,1,6,18,9,9,3,1,1,3,Slight,-0.089442,51.431782
13032,532910,172050,3,2,2,1,30,3,1,7,34,5,6,5,1,1,3,Assistance,-0.089438,51.431872
13033,532910,172050,3,2,2,1,30,3,1,7,34,5,9,2,1,1,3,Assistance,-0.089438,51.431872
15389,532910,172050,3,2,2,2,20,3,2,6,30,9,11,2,1,2,3,Slight,-0.089412,51.431872
15390,532910,172050,3,2,2,2,20,3,2,6,30,9,10,2,1,2,3,Slight,-0.089412,51.431872
