,hora,tipo_carretera,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,coordenada_x_utm,coordenada_y_utm,drogas_alcohol_positivo,vehiculos_implicados,dia_semana,semana_en_año,Latitude,Longitude
47236,1,3,11.0,5,1.0,4.0,1.0,3,1,Serious,439407.36,4466222.16,2,2,4,15,40.344350808721344,-3.713444334391385
47237,1,3,11.0,5,1.0,5.0,1.0,3,2,Slight,439407.36,4466222.16,2,2,4,15,40.344350808721344,-3.713444334391385
23821,1,3,11.0,6,2.0,5.0,1.0,4,1,Slight,441110.351,4466230.937,2,2,6,47,40.34455181612736,-3.693394792174861
23822,1,3,11.0,6,2.0,5.0,3.0,3,2,Serious,441110.351,4466230.937,2,2,6,47,40.34455181612736,-3.693394792174861
44876,2,19,11.0,6,1.0,5.0,1.0,2,1,Slight,439377.57,4466273.25,1,2,3,9,40.34480889229949,-3.713799920704025
44877,2,19,11.0,6,1.0,5.0,3.0,1,1,Serious,439377.57,4466273.25,2,2,3,9,40.34480889229949,-3.713799920704025
26916,2,17,11.0,2,1.0,5.0,1.0,2,1,Slight,442873.667,4466347.739,2,7,7,1,40.34572664002496,-3.672644498259994
26917,2,17,11.0,2,1.0,5.0,1.0,2,2,Slight,442873.667,4466347.739,2,7,7,1,40.34572664002496,-3.672644498259994
26918,2,17,11.0,2,1.0,5.0,1.0,3,1,Serious,442873.667,4466347.739,2,7,7,1,40.34572664002496,-3.672644498259994
26919,2,17,11.0,2,1.0,5.0,2.0,1,1,Slight,442873.667,4466347.739,2,7,7,1,40.34572664002496,-3.672644498259994
26920,2,17,11.0,2,1.0,5.0,2.0,2,1,Slight,442873.667,4466347.739,2,7,7,1,40.34572664002496,-3.672644498259994
26921,2,17,11.0,2,1.0,5.0,2.0,2,2,Slight,442873.667,4466347.739,2,7,7,1,40.34572664002496,-3.672644498259994
46555,2,19,11.0,6,1.0,5.0,1.0,3,1,Slight,439467.21,4466497.77,1,2,5,13,40.34683800361678,-3.712765820798917
46556,2,19,11.0,6,1.0,5.0,3.0,3,1,Serious,439467.21,4466497.77,2,2,5,13,40.34683800361678,-3.712765820798917
30280,1,17,11.0,2,1.0,6.0,1.0,3,1,Slight,442638.125,4466725.469,2,5,1,9,40.34911330974563,-3.6754516939283848
30281,1,17,11.0,2,1.0,6.0,2.0,3,1,Slight,442638.125,4466725.469,2,5,1,9,40.34911330974563,-3.6754516939283848
30282,1,17,11.0,2,1.0,6.0,2.0,3,2,Slight,442638.125,4466725.469,2,5,1,9,40.34911330974563,-3.6754516939283848
30283,1,17,11.0,2,1.0,9.0,1.0,3,1,Slight,442638.125,4466725.469,2,5,1,9,40.34911330974563,-3.6754516939283848
35735,1,17,16.0,2,1.0,9.0,1.0,3,1,Slight,442634.546,4466726.998,1,2,4,33,40.349126837832486,-3.67549397227889
35736,1,17,16.0,2,1.0,4.0,1.0,2,1,Serious,442634.546,4466726.998,2,2,4,33,40.349126837832486,-3.67549397227889
11534,1,17,11.0,6,1.0,5.0,1.0,3,1,Slight,442618.963,4466747.633,1,2,2,23,40.3493116591706,-3.675679309480732
11535,1,17,11.0,6,1.0,5.0,3.0,1,1,Serious,442618.963,4466747.633,2,2,2,23,40.3493116591706,-3.675679309480732
17688,2,17,11.0,2,1.0,4.0,1.0,3,1,Serious,441146.439,4466799.398,2,2,6,36,40.349675400658064,-3.69302231768458
17689,2,17,11.0,2,1.0,5.0,1.0,3,1,Slight,441146.439,4466799.398,1,2,6,36,40.349675400658064,-3.69302231768458
3262,2,17,11.0,1,1.0,9.0,1.0,3,1,Serious,441152.031,4466819.716,2,1,6,7,40.349858831831526,-3.6929583478281223
53333,1,19,11.0,6,1.0,5.0,1.0,2,1,Slight,440268.32,4466867.73,2,2,5,30,40.35022855949049,-3.7033681540903
53334,1,19,11.0,6,1.0,5.0,3.0,4,2,Serious,440268.32,4466867.73,2,2,5,30,40.35022855949049,-3.7033681540903
